date,score,kills
2025-01-28 16:47:27.233735,100,4
2025-01-28 16:47:44.617070,20,1
2025-01-28 16:53:41.640119,260,12
2025-01-28 17:19:46.656613,3440,134
2025-01-28 17:23:51.938499,450,18
2025-01-28 17:26:11.852656,920,44
2025-01-28 18:47:26.761103,950,45
2025-01-28 18:48:43.264465,1100,50
2025-01-28 18:49:30.572983,1030,47
2025-01-28 18:56:53.076492,310,12
2025-01-28 19:01:22.688131,40,2
2025-01-28 19:03:41.262143,340,17
2025-02-02 21:05:28.441989,1540,63
2025-02-02 21:12:15.442845,1200,51
2025-02-02 21:30:44.379561,1080,49
2025-02-02 21:40:54.007589,360,13
2025-02-02 21:42:16.561843,1890,78
2025-02-02 21:45:16.639994,360,16
2025-02-02 21:47:59.702478,160,7
2025-02-02 21:48:16.069569,0,0
2025-02-02 21:48:30.273960,0,0
2025-02-02 21:49:35.939164,0,0
2025-02-02 21:51:10.220254,130,6
2025-02-02 21:51:43.193232,30,1
2025-02-02 21:52:54.357412,30,1
2025-02-02 21:53:32.982716,370,17
2025-02-02 21:53:49.395512,70,3
2025-02-02 21:54:55.979474,0,0
2025-02-02 22:03:41.114509,150,7
2025-02-02 22:04:31.756722,110,5
2025-02-02 22:05:14.227897,60,3
2025-02-02 22:05:59.614735,450,18
2025-02-02 22:11:18.137044,0,0
2025-02-02 22:12:51.939569,3600,149
2025-02-02 22:15:05.403213,550,23
2025-02-02 22:47:03.196844,110,5
2025-02-02 22:49:49.819843,0,0
2025-02-02 23:01:26.820244,1200,51
2025-02-02 23:02:08.823433,0,0
2025-02-02 23:02:38.063115,60,3
2025-02-02 23:03:05.017782,640,27
2025-02-02 23:06:27.524209,260,10
2025-02-02 23:07:02.483372,0,0
2025-02-02 23:08:25.504151,1200,51
2025-02-02 23:09:52.802357,160,7
2025-02-02 23:10:48.187218,930,38
2025-02-02 23:12:45.874608,300,14
2025-02-02 23:13:01.539433,0,0
2025-02-02 23:13:10.558827,0,0
2025-02-02 23:13:48.264109,0,0
2025-02-02 23:14:08.298548,0,0
2025-02-02 23:15:16.290111,560,23
2025-02-02 23:26:04.322068,1170,48
2025-02-02 23:26:32.069524,470,20
2025-02-02 23:27:40.683527,20,1
2025-02-02 23:28:44.110677,40,2
2025-02-02 23:35:34.900984,370,18
2025-02-02 23:35:59.350328,150,6
2025-02-02 23:40:13.903597,20,1
2025-02-02 23:40:36.608023,140,6
2025-02-02 23:45:38.138917,70,3
2025-02-02 23:47:25.331254,800,35
2025-02-02 23:47:26.557402,1200,51
2025-02-02 23:48:31.792110,1590,66
2025-02-02 23:49:32.179297,2330,92
2025-02-03 20:20:55.580593,0,0
2025-02-03 20:21:06.996977,0,0
2025-02-03 20:21:37.406184,0,0
2025-02-03 20:23:55.411247,3990,157
2025-02-03 20:25:16.737959,0,0
2025-02-03 20:26:31.601866,210,9
2025-02-03 20:26:33.139963,1200,51
2025-02-03 21:20:19.740367,2990,119
2025-02-03 21:21:02.487691,150,7
2025-02-03 21:21:46.688911,470,20
2025-02-03 21:26:47.176714,430,20
2025-02-03 21:30:25.579262,3480,147
2025-02-03 21:35:24.681087,300,12
2025-02-03 21:35:25.458585,1200,51
2025-02-03 21:37:22.631402,160,5
2025-02-03 21:42:59.349432,1200,51
2025-02-03 21:43:15.485357,510,17
2025-02-03 21:43:23.836260,0,0
2025-02-03 21:50:24.718726,6840,219
2025-02-03 21:50:39.807759,3710,137
2025-02-03 21:50:49.848473,4750,136
2025-02-03 21:51:26.702046,1000,40
2025-02-03 21:52:14.216697,1200,52
2025-02-03 21:52:34.112491,250,10
2025-02-03 21:52:46.641126,790,31
2025-02-03 21:53:37.427834,4570,184
2025-02-03 21:56:05.077046,0,0
2025-02-03 21:57:38.751229,0,0
2025-02-03 21:58:33.828884,1200,51
2025-02-03 21:58:41.561497,80,3
2025-02-03 21:59:08.084259,0,0
2025-02-03 21:59:13.663375,0,0
2025-02-03 22:00:15.067363,1200,51
2025-02-03 22:00:26.230987,170,5
2025-02-03 22:00:29.125292,0,0
2025-02-03 22:03:50.582421,1200,51
2025-02-03 22:04:07.088127,370,13
2025-02-03 22:12:39.428047,0,0
2025-02-03 22:13:19.992385,0,0
2025-02-03 22:14:08.419330,0,0
2025-02-03 22:14:40.739215,280,13
2025-02-03 22:14:49.138092,0,0
2025-02-03 22:17:22.772230,160,4
2025-02-03 22:18:50.519608,0,0
2025-02-03 22:19:35.451033,160,8